;player_id;pretty_name;age;height_cm;weight_kg;foot;Nationality;club_name;club_contract_valid_until;release_clause_eur;position;Minutes played;Goals;Assists;Yellow cards;Red cards;SpG;PS%;Aearials Won;MotM;Rating;Tackles;Interceptions;Fouls commited;Clearances;Dribbled past;Blocks;Key Passes;Dribbles;Fouled;Dispossessed;Bad control;Crosses;Long balls;Through balls;Games;market_value_in_eur;missed_games;wiki_views;insta_followers;Play_in_CL;player_face_url;club_logo_url;club_flag_url;nation_logo_url;nation_flag_url;player_positions;overall;potential;wage_eur
613;126281;Alexander Hack;27;193;88;Left;Germany;1. FSV Mainz 05;2024.0;6.56;Defender;3629;4;0;9;1;0.57;77.05;2.45;2;6.79;1.79;1.87;0.95;3.93;0.68;0.64;0.26;0.24;0.87;0.04;0.44;0;2.95;0;40.3;2677615.137;2;5415;0;0;https://cdn.sofifa.net/players/231/111/22_120.png;https://cdn.sofifa.net/teams/169/60.png;https://cdn.sofifa.net/flags/de.png;0;https://cdn.sofifa.net/flags/de.png;CB;71;72;14000.0
614;126414;Hakan Calhanoglu;27;178;76;Right;Turkey;Inter;2024.0;7.79;Midfield;9161;24;33;21;0;2.39;84.71;0.54;14;7.19;1.06;0.59;0.99;0.49;0.65;0.14;2.55;0.72;1.05;0.93;1.74;1.65;2.64;0.08;101.7;37486611.92;9;485463;2721157;1;https://cdn.sofifa.net/players/208/128/22_120.png;https://cdn.sofifa.net/teams/44/60.png;https://cdn.sofifa.net/flags/it.png;0;https://cdn.sofifa.net/flags/tr.png;CAM, LM;82;83;115000.0
615;126422;Allan;30;175;74;Right;Brazil;Everton;2023.0;7.76;Midfield;5544;2;3;16;0;0.31;84.06;0.32;1;6.69;2.93;0.77;1.33;0.98;2.51;0.33;0.64;1.05;1.07;0.92;1.23;0.05;2.17;0.02;61.5;19278828.99;13;182964;520197;1;https://cdn.sofifa.net/players/199/914/22_120.png;https://cdn.sofifa.net/teams/7/60.png;https://cdn.sofifa.net/flags/gb-eng.png;0;https://cdn.sofifa.net/flags/br.png;CDM, CM;83;83;100000.0
616;126540;Samuel Umtiti;27;182;75;Left;France;FC Barcelona;2023.0;7.6;Defender;1984;0;0;9;0;0.11;92.78;1.43;0;6.65;0.66;1.27;1.18;2;0.33;0.44;0.09;0.36;0.95;0.09;0.24;0;2.05;0;22;2142092.11;26;378392;6175741;1;https://cdn.sofifa.net/players/205/600/22_120.png;https://cdn.sofifa.net/teams/241/60.png;https://cdn.sofifa.net/flags/es.png;0;https://cdn.sofifa.net/flags/fr.png;CB;80;80;125000.0
617;126557;Jonathan Gradit;28;180;75;Right;France;Racing Club de Lens;2024.0;7.06;Defender;4825;0;1;12;1;0.1;87.81;1.63;2;6.81;1.68;1.7;1.29;2.57;0.58;0.68;0.37;0.79;1.49;0.36;0.68;0.06;3.61;0.04;53.6;4284184.22;3;4283;17430;0;https://cdn.sofifa.net/players/221/284/22_120.png;https://cdn.sofifa.net/teams/64/60.png;https://cdn.sofifa.net/flags/fr.png;0;https://cdn.sofifa.net/flags/fr.png;CB, RB;75;76;26000.0
618;126600;Kenny Mclean;29;183;70;Left;Scotland;Norwich City;2023.0;6.78;Midfield;8377;4;8;13;0;0.95;79.4;2.22;1;6.67;1.24;0.95;0.54;1.51;0.92;0.19;0.48;0.68;1.35;0.61;1.08;0.15;2.01;0.04;93.2;3213138.165;0;77587;31821;0;https://cdn.sofifa.net/players/201/368/22_120.png;https://cdn.sofifa.net/teams/1792/60.png;https://cdn.sofifa.net/flags/gb-eng.png;0;https://cdn.sofifa.net/flags/gb-sct.png;CM, CDM;73;73;29000.0
619;126656;Faouzi Ghoulam;30;184;80;Left;Algeria;Napoli;2022.0;7.18;Defender;1094;0;1;3;0;0.29;87.25;0.71;2;6.45;0.63;0.43;0.37;0.61;0.17;0.22;0.91;0.09;0.44;0.15;0.21;0.94;0.48;0;12.1;1927882.899;26;37136;1097454;1;https://cdn.sofifa.net/players/201/454/22_120.png;https://cdn.sofifa.net/teams/48/60.png;https://cdn.sofifa.net/flags/it.png;0;https://cdn.sofifa.net/flags/dz.png;LB;77;77;51000.0
620;126664;Lucas Digne;27;178;74;Left;France;Everton;2023.0;7.89;Defender;8208;1;18;14;1;0.6;76.6;2.78;3;7.04;2.05;1.1;1.18;2.33;0.74;0.25;1.76;0.6;0.74;0.69;0.85;1.57;1.37;0.04;91.2;32131381.65;9;315832;1991322;1;https://cdn.sofifa.net/players/200/458/22_120.png;https://cdn.sofifa.net/teams/7/60.png;https://cdn.sofifa.net/flags/gb-eng.png;https://cdn.sofifa.net/teams/1335/60.png;https://cdn.sofifa.net/flags/fr.png;LB;84;84;110000.0
621;126665;Idrissa Gueye;31;174;66;Right;Senegal;Paris Saint-Germain;2023.0;7.6;Midfield;6519;7;4;11;2;0.77;91.01;0.65;3;6.96;2.71;1.12;1.69;0.55;1.06;0.24;0.69;0.85;0.99;0.72;1.06;0.16;1.67;0.04;72.3;13923598.71;9;367926;1464874;1;https://cdn.sofifa.net/players/193/474/22_120.png;https://cdn.sofifa.net/teams/73/60.png;https://cdn.sofifa.net/flags/fr.png;0;https://cdn.sofifa.net/flags/sn.png;CDM, CM;82;82;88000.0
622;126673;Adama Soumaoro;29;187;91;Right;France;Bologna;2024.0;6.95;Defender;4512;3;1;12;1;0.39;90.76;2.38;0;6.58;0.73;1.08;1.09;3.1;0.22;0.88;0.16;0.2;0.6;0.1;0.43;0;1.49;0.03;50.2;4284184.22;0;20842;40514;1;https://cdn.sofifa.net/players/200/353/22_120.png;https://cdn.sofifa.net/teams/189/60.png;https://cdn.sofifa.net/flags/it.png;0;https://cdn.sofifa.net/flags/fr.png;CB;75;76;28000.0
